fecha,demanda,tmed,hrmed,diasem,trim,festivo
2019-01-01,23083.58,7.55,64.55,1,0,1
2019-01-02,29587.33,6.3,68.14,2,0,0
2019-01-03,31287.31,5.59,66.48,3,0,0
2019-01-04,31500.99,5.57,64.75,4,0,0
2019-01-05,28435.44,6.09,59.19,5,0,0
2019-01-06,26137.43,6.57,53.05,6,0,1
2019-01-07,30404.35,5.78,57.67,0,0,0
2019-01-08,33604.78,5.96,65.17,1,0,0
2019-01-09,33613.08,6.93,67.41,2,0,0
2019-01-10,34053.82,4.31,60.54,3,0,0
2019-01-11,34446.31,3.15,59.53,4,0,0
2019-01-12,30544.83,4.79,68.08,5,0,0
2019-01-13,28633.25,6.12,69.3,6,0,0
2019-01-14,33250.75,7.73,68.15,0,0,0
2019-01-15,33585.05,6.94,71.94,1,0,0
2019-01-16,33702.31,5.74,79.08,2,0,0
2019-01-17,33819.74,5.38,79.25,3,0,0
2019-01-18,33784.59,4.2,77.41,4,0,0
2019-01-19,30411.59,5.26,83.11,5,0,0
2019-01-20,28017.71,6.46,81.35,6,0,0
2019-01-21,33164.86,5.33,72.62,0,0,0
2019-01-22,34490.67,4.14,78.27,1,0,0
2019-01-23,34054.46,7.8,77.9,2,0,0
2019-01-24,33370.71,8.76,72.62,3,0,0
2019-01-25,32418.38,9.16,70.36,4,0,0
2019-01-26,28623.95,8.61,69.36,5,0,0
2019-01-27,26982.65,7.05,67.93,6,0,0
2019-01-28,32256.31,7.19,71.11,0,0,0
2019-01-29,32991.76,6.92,78.49,1,0,0
2019-01-30,33091.28,6.99,72.44,2,0,0
2019-01-31,28746.17,9.8,83.92,3,0,0
2019-02-01,32269.5,7.22,76.57,4,0,0
2019-02-02,29439.24,4.68,68.84,5,0,0
2019-02-03,27697.6,3.87,61.56,6,0,0
2019-02-04,33005.92,5.34,60.17,0,0,0
2019-02-05,32839.06,8.83,67.12,1,0,0
2019-02-06,32217.03,9.44,69.22,2,0,0
2019-02-07,31949.69,8.81,69.38,3,0,0
2019-02-08,31561.27,8.22,70.52,4,0,0
2019-02-09,28335.71,9.09,69.63,5,0,0
2019-02-10,26614.05,8.77,74.71,6,0,0
2019-02-11,30986.46,8.29,69.22,0,0,0
2019-02-12,31700.56,7.93,65.57,1,0,0
2019-02-13,31494.83,8.5,62.11,2,0,0
2019-02-14,31356.62,9.25,58.64,3,0,0
2019-02-15,31161.47,9.49,60.74,4,0,0
2019-02-16,27737.5,9.76,56.31,5,0,0
2019-02-17,25882.58,9.29,52.73,6,0,0
2019-02-18,30919.92,8.78,66.87,0,0,0
2019-02-19,31271.22,8.48,71.99,1,0,0
2019-02-20,31078.03,8.67,69.38,2,0,0
2019-02-21,31044.44,9.78,61.87,3,0,0
2019-02-22,30420.92,11.24,50.33,4,0,0
2019-02-23,27083.85,11.26,50.46,5,0,0
2019-02-24,25060.24,11.2,55.64,6,0,0
2019-02-25,29763.56,11.3,56.9,0,0,0
2019-02-26,30067.33,11.9,50.38,1,0,0
2019-02-27,30102.81,12.17,45.63,2,0,0
2019-02-28,26574.5,11.1,56.69,3,0,0
2019-03-01,29601.63,10.76,59.18,4,0,0
